incident_number;incident_date;alarm_dttm;arrival_dttm;neighborhood_district;battalion;primary_situation;suppression_units;suppression_personnel;ems_units;number_of_alarms;civilian_fatalities;civilian_injuries;no_flame_spread;estimated_property_loss;response_time_min;year;month;hour;weekday;is_weekend;is_night;neighborhood;acs_year;total_population;median_household_income;median_gross_rent;poverty_below;poverty_universe_total;bachelor_degree_count;education_universe_total;vacant_housing_units;total_housing_units;crime_index;crime_rate_raw;parcel_count;yrbuilt_count;pre1940_count;pre1960_count;total_resunits;residential_count;total_area_sqft;high_risk_commercial_area_sqft
05095158;2005-12-17;2005-12-17 13:22:47;2005-12-17 13:26:50;Potrero Hill;B10;730 - System malfunction, other;1;4;0;1;0;0;;0.0;4.05;2005;12;13;5;1;0;Potrero Hill;2009;3501.0;119797;1890;117.0;3501.0;0.0;0.0;76.0;1922.0;;;2948;2623;1741;1983;7487.0;2374;23512977.162499327;2556093.17916258
18024268;2018-02-26;2018-02-26 10:46:20;2018-02-26 10:56:51;Tenderloin;B04;522 Water or steam leak;2;8;1;1;0;0;NA;0.0;10.516666666666667;2018;2;10;0;0;0;Tenderloin;2014;11507.0;20562;765;4076.0;11283.0;1992.0;9726.0;1090.0;7839.0;4.8827;1148.431;838;767;682;699;20084.0;415;6915450.999958961;787681.339408623
22167641;2022-12-26;2022-12-26 09:18:51;2022-12-26 09:21:52;South of Market;B03;151 Outside rubbish, trash or waste fire;3;10;0;1;0;0;NA;0.0;3.0166666666666666;2022;12;9;0;0;0;South Of Market;2021;24972.0;85183;1624;3907.0;24654.0;6942.0;20757.0;2250.0;15318.0;3.3068;474.531;1984;1725;1183;1330;17638.0;639;17922069.165378615;3975462.21846598
24000004;2024-01-01;2024-01-01 00:07:53;2024-01-01 00:11:46;South of Market;B03;561 Unauthorized burning;3;10;0;1;0;0;NA;0.0;3.8833333333333333;2024;1;0;0;0;1;South Of Market;2023;24698.0;120116;2181;4959.0;24387.0;6790.0;21201.0;2777.0;16074.0;3.1575;463.236;1984;1725;1183;1330;17638.0;639;17922069.165378615;3975462.21846598
20000006;2020-01-01;2020-01-01 00:09:03;2020-01-01 00:15:30;Mission;B06;150 Outside rubbish fire, other;1;4;0;1;0;0;NA;0.0;6.45;2020;1;0;2;0;1;Mission;2019;35045.0;130340;2000;3584.0;34485.0;9408.0;28176.0;1100.0;13283.0;2.0107;420.174;7339;6944;5931;6279;25369.0;5836;35309344.43523844;5005477.382824288
05095163;2005-12-17;2005-12-17 13:31:27;2005-12-17 13:34:26;Pacific Heights;B04;743 - Smoke detector, no fire, accidental;3;10;0;1;0;0;;0.0;2.9833333333333334;2005;12;13;5;1;0;Pacific Heights;2009;9993.0;112510;1692;519.0;9893.0;0.0;0.0;417.0;5637.0;;;3163;3059;2548;2744;15087.0;2846;15133028.741615564;436339.99526388
22167646;2022-12-26;2022-12-26 09:34:45;2022-12-26 09:39:24;Mission;B06;743 Smoke detector activation, no fire - unintentional;3;10;0;1;0;0;NA;0.0;4.65;2022;12;9;0;0;0;Mission;2021;57018.0;128489;2102;7228.0;56524.0;17473.0;46519.0;3265.0;26164.0;1.5283;219.317;7339;6944;5931;6279;25369.0;5836;35309344.43523844;5005477.382824288
18024274;2018-02-26;2018-02-26 10:58:10;2018-02-26 11:03:01;Chinatown;B01;700 False alarm or false call, other;2;9;0;1;0;0;NA;0.0;4.85;2018;2;10;0;0;0;Chinatown;2014;4798.0;23961;722;1292.0;4769.0;708.0;3656.0;145.0;2353.0;2.1825;513.339;1005;946;846;872;8076.0;584;4062467.545265171;353139.634978812
24000005;2024-01-01;2024-01-01 00:09:21;2024-01-01 00:15:28;South of Market;B02;743 Smoke detector activation, no fire - unintentional;3;11;0;1;0;0;NA;0.0;6.116666666666666;2024;1;0;0;0;1;South Of Market;2023;24698.0;120116;2181;4959.0;24387.0;6790.0;21201.0;2777.0;16074.0;3.1575;463.236;1984;1725;1183;1330;17638.0;639;17922069.165378615;3975462.21846598
20000009;2020-01-01;2020-01-01 00:13:37;2020-01-01 00:18:53;Inner Sunset;B08;711 Municipal alarm system, malicious false alarm;2;9;0;1;0;0;NA;0.0;5.266666666666667;2020;1;0;2;0;1;Inner Sunset;2019;29539.0;136475;2364;2268.0;28766.0;10056.0;23947.0;716.0;12949.0;0.2496;52.168;6610;6414;3721;5139;12068.0;6250;29298615.223204397;415301.68786902097
