stadtteil;acs_jahr;jahr;monat;wochentag;stunde;ist_wochenende;ist_nacht;antwortzeit_min;einsatzart;bataillon;alarmstufe;schaetzung_sachschaden_usd;gesamtbevoelkerung;median_haushaltseinkommen;armutsquote_pct;akademikerquote_pct;median_miete;leerstandsquote_pct;kriminalitaetsindex;kriminalitaetsrate_pro_1000_ew_roh;gesamtzahl_wohneinheiten;anteil_altbau_vor_1940_pct;anteil_wohngebaeude_pct;anteil_risikogewerbe_pct
Potrero Hill;2009;2005;12;5;13;1;0;4.05;730 - System malfunction, other;B10;1;0.0;3501;119797;0.0334;;1890;0.0395;;;7487;0.6637;0.8053;0.1087
Tenderloin;2014;2018;2;0;10;0;0;10.516666666666667;522 Water or steam leak;B04;1;0.0;11507;20562;0.3613;0.2048;765;0.139;4.8827;1148.431;20084;0.8892;0.4952;0.1139
South Of Market;2021;2022;12;0;9;0;0;3.0166666666666666;151 Outside rubbish, trash or waste fire;B03;1;0.0;24972;85183;0.1585;0.3344;1624;0.1469;3.3068;474.531;17638;0.6858;0.3221;0.2218
South Of Market;2023;2024;1;0;0;0;1;3.8833333333333333;561 Unauthorized burning;B03;1;0.0;24698;120116;0.2033;0.3203;2181;0.1728;3.1575;463.236;17638;0.6858;0.3221;0.2218
Mission;2019;2020;1;2;0;0;1;6.45;150 Outside rubbish fire, other;B06;1;0.0;35045;130340;0.1039;0.3339;2000;0.0828;2.0107;420.174;25369;0.8541;0.7952;0.1418
Pacific Heights;2009;2005;12;5;13;1;0;2.9833333333333334;743 - Smoke detector, no fire, accidental;B04;1;0.0;9993;112510;0.0525;;1692;0.074;;;15087;0.833;0.8998;0.0288
Mission;2021;2022;12;0;9;0;0;4.65;743 Smoke detector activation, no fire - unintentional;B06;1;0.0;57018;128489;0.1279;0.3756;2102;0.1248;1.5283;219.317;25369;0.8541;0.7952;0.1418
Chinatown;2014;2018;2;0;10;0;0;4.85;700 False alarm or false call, other;B01;1;0.0;4798;23961;0.2709;0.1937;722;0.0616;2.1825;513.339;8076;0.8943;0.5811;0.0869
South Of Market;2023;2024;1;0;0;0;1;6.116666666666666;743 Smoke detector activation, no fire - unintentional;B02;1;0.0;24698;120116;0.2033;0.3203;2181;0.1728;3.1575;463.236;17638;0.6858;0.3221;0.2218
Inner Sunset;2019;2020;1;2;0;0;1;5.266666666666667;711 Municipal alarm system, malicious false alarm;B08;1;0.0;29539;136475;0.0788;0.4199;2364;0.0553;0.2496;52.168;12068;0.5801;0.9455;0.0142
