einsatz_nummer;einsatz_datum;alarm_zeitpunkt;ankunft_zeitpunkt;stadtteil_bezirk;bataillon;einsatzart;loeschfahrzeuge;loeschkraefte;rettungsdienst_einheiten;alarmstufe;zivile_tote;zivile_verletzte;flammenausbreitung_eingedaemmt;schaetzung_sachschaden_usd;antwortzeit_min;jahr;monat;stunde;wochentag;ist_wochenende;ist_nacht;stadtteil;acs_jahr;gesamtbevoelkerung;median_haushaltseinkommen;median_miete;armutsbevoelkerung;armuts_grundgesamtheit;akademiker_anzahl;bildungs_grundgesamtheit;leerstehende_wohneinheiten;gesamtzahl_wohnungen;kriminalitaetsindex;kriminalitaetsrate_pro_1000_ew_roh;parzellen_anzahl;parzellen_mit_baujahr;parzellen_vor_1940;parzellen_vor_1960;gesamtzahl_wohneinheiten;wohnparzellen_anzahl;gesamtflaeche_sqft;risikogewerbeflaeche_sqft;armutsquote_pct;akademikerquote_pct;leerstandsquote_pct;anteil_altbau_vor_1940_pct;anteil_altbau_vor_1960_pct;anteil_wohngebaeude_pct;anteil_risikogewerbe_pct
05095158;2005-12-17;2005-12-17 13:22:47;2005-12-17 13:26:50;Potrero Hill;B10;730 - System malfunction, other;1;4;0;1;0;0;;0.0;4.05;2005;12;13;5;1;0;Potrero Hill;2009;3501;119797;1890;117;3501;0;0;76;1922;;;2948;2623;1741;1983;7487;2374;23512977.162499327;2556093.17916258;0.0334;;0.0395;0.6637;0.756;0.8053;0.1087
18024268;2018-02-26;2018-02-26 10:46:20;2018-02-26 10:56:51;Tenderloin;B04;522 Water or steam leak;2;8;1;1;0;0;NA;0.0;10.516666666666667;2018;2;10;0;0;0;Tenderloin;2014;11507;20562;765;4076;11283;1992;9726;1090;7839;4.8827;1148.431;838;767;682;699;20084;415;6915450.999958961;787681.339408623;0.3613;0.2048;0.139;0.8892;0.9113;0.4952;0.1139
22167641;2022-12-26;2022-12-26 09:18:51;2022-12-26 09:21:52;South of Market;B03;151 Outside rubbish, trash or waste fire;3;10;0;1;0;0;NA;0.0;3.0166666666666666;2022;12;9;0;0;0;South Of Market;2021;24972;85183;1624;3907;24654;6942;20757;2250;15318;3.3068;474.531;1984;1725;1183;1330;17638;639;17922069.165378615;3975462.21846598;0.1585;0.3344;0.1469;0.6858;0.771;0.3221;0.2218
24000004;2024-01-01;2024-01-01 00:07:53;2024-01-01 00:11:46;South of Market;B03;561 Unauthorized burning;3;10;0;1;0;0;NA;0.0;3.8833333333333333;2024;1;0;0;0;1;South Of Market;2023;24698;120116;2181;4959;24387;6790;21201;2777;16074;3.1575;463.236;1984;1725;1183;1330;17638;639;17922069.165378615;3975462.21846598;0.2033;0.3203;0.1728;0.6858;0.771;0.3221;0.2218
20000006;2020-01-01;2020-01-01 00:09:03;2020-01-01 00:15:30;Mission;B06;150 Outside rubbish fire, other;1;4;0;1;0;0;NA;0.0;6.45;2020;1;0;2;0;1;Mission;2019;35045;130340;2000;3584;34485;9408;28176;1100;13283;2.0107;420.174;7339;6944;5931;6279;25369;5836;35309344.43523844;5005477.382824288;0.1039;0.3339;0.0828;0.8541;0.9042;0.7952;0.1418
05095163;2005-12-17;2005-12-17 13:31:27;2005-12-17 13:34:26;Pacific Heights;B04;743 - Smoke detector, no fire, accidental;3;10;0;1;0;0;;0.0;2.9833333333333334;2005;12;13;5;1;0;Pacific Heights;2009;9993;112510;1692;519;9893;0;0;417;5637;;;3163;3059;2548;2744;15087;2846;15133028.741615564;436339.99526388;0.0525;;0.074;0.833;0.897;0.8998;0.0288
22167646;2022-12-26;2022-12-26 09:34:45;2022-12-26 09:39:24;Mission;B06;743 Smoke detector activation, no fire - unintentional;3;10;0;1;0;0;NA;0.0;4.65;2022;12;9;0;0;0;Mission;2021;57018;128489;2102;7228;56524;17473;46519;3265;26164;1.5283;219.317;7339;6944;5931;6279;25369;5836;35309344.43523844;5005477.382824288;0.1279;0.3756;0.1248;0.8541;0.9042;0.7952;0.1418
18024274;2018-02-26;2018-02-26 10:58:10;2018-02-26 11:03:01;Chinatown;B01;700 False alarm or false call, other;2;9;0;1;0;0;NA;0.0;4.85;2018;2;10;0;0;0;Chinatown;2014;4798;23961;722;1292;4769;708;3656;145;2353;2.1825;513.339;1005;946;846;872;8076;584;4062467.545265171;353139.634978812;0.2709;0.1937;0.0616;0.8943;0.9218;0.5811;0.0869
24000005;2024-01-01;2024-01-01 00:09:21;2024-01-01 00:15:28;South of Market;B02;743 Smoke detector activation, no fire - unintentional;3;11;0;1;0;0;NA;0.0;6.116666666666666;2024;1;0;0;0;1;South Of Market;2023;24698;120116;2181;4959;24387;6790;21201;2777;16074;3.1575;463.236;1984;1725;1183;1330;17638;639;17922069.165378615;3975462.21846598;0.2033;0.3203;0.1728;0.6858;0.771;0.3221;0.2218
20000009;2020-01-01;2020-01-01 00:13:37;2020-01-01 00:18:53;Inner Sunset;B08;711 Municipal alarm system, malicious false alarm;2;9;0;1;0;0;NA;0.0;5.266666666666667;2020;1;0;2;0;1;Inner Sunset;2019;29539;136475;2364;2268;28766;10056;23947;716;12949;0.2496;52.168;6610;6414;3721;5139;12068;6250;29298615.223204397;415301.68786902097;0.0788;0.4199;0.0553;0.5801;0.8012;0.9455;0.0142
24000010;2024-01-01;2024-01-01 00:18:36;2024-01-01 00:23:43;Hayes Valley;B05;700 False alarm or false call, other;1;4;0;1;0;0;NA;0.0;5.116666666666666;2024;1;0;0;0;1;Hayes Valley;2023;18240;133318;2541;1975;17955;6384;15463;1924;11340;1.373;201.425;1907;1768;1536;1578;10720;1580;9119576.392113175;320470.04341384;0.11;0.4129;0.1697;0.8688;0.8925;0.8285;0.0351
20000010;2020-01-01;2020-01-01 00:18:25;2020-01-01 00:28:19;Marina;B04;324 Motor vehicle accident with no injuries.;1;4;0;1;0;0;NA;0.0;9.9;2020;1;0;2;0;1;Marina;2019;16100;148914;2526;575;16008;7314;13722;651;9591;1.1431;238.882;4140;4028;3445;3728;14844;3667;19061019.96271947;691190.43714124;0.0359;0.533;0.0679;0.8553;0.9255;0.8857;0.0363
22167647;2022-12-26;2022-12-26 09:36:30;2022-12-26 09:44:49;Pacific Heights;B04;550 Public service assistance, other;2;9;0;1;0;0;NA;0.0;8.316666666666666;2022;12;9;0;0;0;Pacific Heights;2021;23895;179209;2732;1384;23475;8892;20206;2381;15231;0.6334;90.898;3163;3059;2548;2744;15087;2846;15133028.741615564;436339.99526388;0.059;0.4401;0.1563;0.833;0.897;0.8998;0.0288
05095167;2005-12-17;2005-12-17 13:50:17;2005-12-17 13:53:38;Financial District/South Beach;B01;730 - System malfunction, other;3;11;0;1;0;0;;0.0;3.35;2005;12;13;5;1;0;Financial District/South Beach;2009;3946;81993;1521;522;3946;0;0;612;3027;;;1232;1002;661;711;16452;164;22336746.81299536;1605340.129434689;0.1323;;0.2022;0.6597;0.7096;0.1331;0.0719
18024275;2018-02-26;2018-02-26 10:58:56;2018-02-26 11:03:03;Presidio;B99;412 Gas leak (natural gas or LPG);3;10;0;1;0;0;NA;0.0;4.116666666666666;2018;2;10;0;0;0;Presidio;2014;3451;146000;2001;201;3443;1240;2453;99;1317;0.1072;25.21;34;25;21;23;194;25;65811868.5950404;0.0;0.0584;0.5055;0.0752;0.84;0.92;0.7353;0.0
22167650;2022-12-26;2022-12-26 09:40:46;2022-12-26 09:43:16;Presidio Heights;B05;735 Alarm system sounded due to malfunction;3;10;0;1;0;0;NA;0.0;2.5;2022;12;9;0;0;0;Presidio Heights;2021;10475;160481;2392;629;10441;3939;8236;501;5552;0.4863;69.785;2110;2044;1585;1877;5190;1908;9527729.349454287;221803.5619475;0.0602;0.4783;0.0902;0.7754;0.9183;0.9043;0.0233
20000026;2020-01-01;2020-01-01 00:33:52;2020-01-01 00:39:10;Bayview Hunters Point;B10;150 Outside rubbish fire, other;1;4;0;1;0;0;NA;0.0;5.3;2020;1;0;2;0;1;Bayview Hunters Point;2019;37917;64881;1367;6717;37747;4910;26929;776;12701;0.954;199.356;9079;7590;3045;5305;11504;6692;132006461.54851584;13267553.77316572;0.1779;0.1823;0.0611;0.4012;0.6989;0.7371;0.1005
24000014;2024-01-01;2024-01-01 00:32:29;2024-01-01 00:40:43;North Beach;B01;500 Service Call, other;1;4;0;1;0;0;NA;0.0;8.233333333333333;2024;1;0;0;0;1;North Beach;2023;11497;130293;2225;1147;11497;3239;9370;1498;7599;2.4314;356.702;1474;1352;1067;1167;6485;1136;10205305.035137417;535815.8314279229;0.0998;0.3457;0.1971;0.7892;0.8632;0.7707;0.0525
18024279;2018-02-26;2018-02-26 11:08:08;2018-02-26 11:14:30;Bayview Hunters Point;B10;735 Alarm system sounded due to malfunction;3;10;0;1;0;0;NA;0.0;6.366666666666666;2018;2;11;0;0;0;Bayview Hunters Point;2014;37537;58112;1139;8419;37431;4074;24561;959;11922;0.8745;205.69;9079;7590;3045;5305;11504;6692;132006461.54851584;13267553.77316572;0.2249;0.1659;0.0804;0.4012;0.6989;0.7371;0.1005
05095169;2005-12-17;2005-12-17 13:54:18;2005-12-17 13:55:55;Haight Ashbury;B05;444 - Power line down (wire);3;11;0;1;0;0;;0.0;1.6166666666666667;2005;12;13;5;1;0;Haight Ashbury;2009;4718;76019;1407;528;4718;0;0;293;2547;;;2876;2796;2538;2651;8702;2666;10986995.131011656;299610.76852043;0.1119;;0.115;0.9077;0.9481;0.927;0.0273
05095172;2005-12-17;2005-12-17 14:11:10;2005-12-17 14:13:32;Financial District/South Beach;B03;442 - Overheated motor;3;10;0;1;0;0;;0.0;2.3666666666666667;2005;12;14;5;1;0;Financial District/South Beach;2009;3946;81993;1521;522;3946;0;0;612;3027;;;1232;1002;661;711;16452;164;22336746.81299536;1605340.129434689;0.1323;;0.2022;0.6597;0.7096;0.1331;0.0719
